2016-05-12,1367,1359,0,2
2016-05-12,1381,1305,1,1
2016-05-12,1381,1293,-1,1
2016-05-12,1363,1359,-1,3
2016-05-12,1381,1328,1,6
2016-05-12,1366,1359,-1,5
2016-05-12,1982,1294,1,1
2016-05-12,1520,1524,0,4
2016-05-12,1363,1359,1,5
2016-05-12,1374,1359,-1,65
2016-05-12,1520,1525,-1,2
2016-05-12,1982,1321,1,2
2016-05-12,1518,1524,-1,128
2016-05-12,1518,1526,-1,16
2016-05-12,1381,1331,1,14
2016-05-12,1381,1351,1,2
2016-05-12,1381,1331,0,6
2016-05-12,1381,1326,-1,2
2016-05-13,1518,1524,-1,23
2016-05-13,1982,1360,1,1
2016-05-13,1381,1358,-1,1
2016-05-13,1381,1305,-1,1
2016-05-13,1363,1359,-1,1
2016-05-13,1374,1359,1,38
2016-05-13,1381,1302,-1,3
2016-05-13,1381,1351,-1,5
2016-05-13,1381,1360,-1,3
2016-05-13,1520,1526,1,1
2016-05-13,1374,1359,0,6
2016-05-13,1982,1331,-1,5
2016-05-13,1520,1524,-1,39
2016-05-13,1381,1331,0,1
2016-05-13,1381,1331,-1,45
2016-05-13,1381,1326,-1,1
2016-05-13,1518,1525,-1,11
2016-05-13,1518,1524,1,81
2016-05-13,1363,1359,1,1
2016-05-13,1518,1526,-1,3
2016-05-13,1381,1351,1,6
2016-05-13,1982,1331,1,2
2016-05-13,1520,1526,-1,1
2016-05-13,1982,1321,1,3
2016-05-13,1374,1359,-1,87
2016-05-13,1381,1305,1,1
2016-05-13,1381,1331,1,5
2016-05-13,1518,1524,0,6
2016-05-13,1518,1526,1,3
2016-05-13,1384,1321,1,5
2016-05-13,1518,1525,1,5
2016-05-13,1381,1360,1,6
2016-05-13,1982,1294,1,2
2016-05-13,1366,1359,1,4
2016-05-13,1520,1524,1,22
2016-05-14,1518,1524,1,17
2016-05-14,1381,1360,-1,2
2016-05-14,1381,1331,-1,10
2016-05-14,1518,1524,-1,13
2016-05-14,1363,1359,-1,3
2016-05-14,1982,1331,-1,1
2016-05-14,1374,1359,1,7
2016-05-14,1381,1326,-1,3
2016-05-14,1520,1524,0,1
2016-05-14,1381,1351,-1,1
2016-05-14,1381,1360,1,1
2016-05-14,1520,1524,-1,7
2016-05-14,1374,1359,0,2
2016-05-14,1381,1305,1,1
2016-05-14,1520,1524,1,2
2016-05-14,1366,1359,-1,1
2016-05-14,1381,1331,1,1
2016-05-14,1363,1359,1,2
2016-05-14,1374,1359,-1,4
2016-05-14,1982,1360,1,1
2016-05-15,1381,1360,-1,3
2016-05-15,1374,1359,0,34
2016-05-15,1520,1524,-1,49
2016-05-15,1374,1359,-1,45
2016-05-15,1518,1524,0,8
2016-05-15,1381,1326,1,1
2016-05-15,1381,1360,1,3
2016-05-15,1518,1524,-1,137
2016-05-15,1518,1525,1,3
2016-05-15,1381,1351,-1,10
2016-05-15,1366,1359,0,1
2016-05-15,1367,1359,-1,1
2016-05-15,1381,1331,1,4
2016-05-15,1374,1359,1,32
2016-05-15,1366,1359,1,2
2016-05-15,1363,1359,-1,2
2016-05-15,1381,1331,-1,29
2016-05-15,1520,1524,1,5
2016-05-15,1366,1359,-1,1
2016-05-15,1518,1526,1,8
2016-05-15,1518,1526,-1,1
2016-05-15,1518,1525,-1,7
2016-05-15,1520,1525,-1,1
2016-05-15,1982,1331,-1,2
2016-05-15,1518,1524,1,59
2016-05-15,1381,1331,0,1
2016-05-15,1363,1359,1,2
2016-05-15,1367,1359,0,1
2016-05-15,1520,1526,1,1
2016-05-16,1520,1525,1,2
2016-05-16,1381,1305,0,1
2016-05-16,1363,1359,1,5
2016-05-16,1381,1330,-1,1
2016-05-16,1520,1524,-1,44
2016-05-16,1982,1321,1,1
2016-05-16,1518,1524,-1,238
2016-05-16,1381,1326,0,1
2016-05-16,1374,1359,-1,75
2016-05-16,1381,1331,1,8
2016-05-16,1518,1525,-1,35
2016-05-16,1381,1321,-1,1
2016-05-16,1982,1331,-1,1
2016-05-16,1381,1305,-1,4
2016-05-16,1520,1524,1,24
2016-05-16,1381,1316,-1,1
2016-05-16,1381,1331,0,1
2016-05-16,1381,1360,-1,6
2016-05-16,1381,1326,-1,1
2016-05-16,1381,1360,1,3
2016-05-16,1374,1359,1,38
2016-05-16,1518,1525,1,2
2016-05-16,1381,1331,-1,43
2016-05-16,1367,1359,1,18
2016-05-16,1520,1524,0,4
2016-05-16,1381,1305,1,14
2016-05-16,1374,1359,0,13
2016-05-16,1363,1359,-1,5
2016-05-16,1982,1326,1,1
2016-05-16,1367,1359,-1,2
2016-05-16,1518,1524,0,8
2016-05-16,1518,1524,1,110
2016-05-16,1520,1526,-1,1
2016-05-16,1366,1359,1,8
2016-05-16,1384,1321,1,2
2016-05-16,1366,1359,-1,2
2016-05-17,1520,1524,1,24
2016-05-17,1982,1305,-1,2
2016-05-17,1518,1526,-1,4
2016-05-17,1381,1327,1,3
2016-05-17,1518,1524,-1,117
2016-05-17,1374,1359,-1,85
2016-05-17,1364,1359,1,1
2016-05-17,1381,1326,1,2
2016-05-17,1520,1525,1,1
2016-05-17,1384,1331,-1,1
2016-05-17,1381,1305,0,1
2016-05-17,1982,1326,1,1
2016-05-17,1366,1359,-1,13
2016-05-17,1381,1305,1,14
2016-05-17,1518,1524,0,14
2016-05-17,1381,1293,-1,1
2016-05-17,1366,1359,1,1
2016-05-17,1363,1359,-1,1
2016-05-17,1520,1526,-1,2
2016-05-17,1381,1331,1,20
2016-05-17,1982,1305,1,3
2016-05-17,1381,1360,1,1
2016-05-17,1381,1294,-1,2
2016-05-17,1518,1525,1,1
2016-05-17,1381,1330,-1,18
2016-05-17,1520,1524,0,8
2016-05-17,1982,1305,0,1
2016-05-17,1518,1524,1,81
2016-05-17,1381,1327,-1,4
2016-05-17,1381,1316,-1,3
2016-05-17,1518,1526,1,2
2016-05-17,1520,1524,-1,56
2016-05-17,1381,1331,-1,198
2016-05-17,1363,1359,1,1
2016-05-17,1367,1359,1,11
2016-05-17,1366,1359,0,2
2016-05-17,1374,1359,1,33
2016-05-17,1374,1359,0,11
2016-05-17,1381,1331,0,3
2016-05-17,1518,1525,-1,18
2016-05-17,1982,1360,0,1
2016-05-17,1381,1360,-1,5
2016-05-17,1381,1313,1,1
2016-05-17,1381,1305,-1,2
2016-05-17,1982,1360,1,1
2016-05-17,1982,1331,-1,2
2016-05-18,1518,1526,1,1
2016-05-18,1367,1359,1,5
2016-05-18,1381,1353,0,1
2016-05-18,1520,1524,-1,18
2016-05-18,1381,1360,1,11
2016-05-18,1518,1524,0,17
2016-05-18,1518,1524,-1,85
2016-05-18,1381,1331,1,21
2016-05-18,1982,1331,1,2
2016-05-18,1381,1293,-1,1
2016-05-18,1366,1359,1,7
2016-05-18,1366,1359,-1,6
2016-05-18,1381,1294,1,1
2016-05-18,1982,1305,1,2
2016-05-18,1381,1305,1,9
2016-05-18,1381,1333,-1,3
2016-05-18,1518,1525,1,2
2016-05-18,1520,1525,1,1
2016-05-18,1381,1331,0,11
2016-05-18,1520,1524,0,19
2016-05-18,1520,1526,1,1
2016-05-18,1374,1359,0,10
2016-05-18,1520,1524,1,55
2016-05-18,1363,1359,-1,1
2016-05-18,1982,1305,-1,2
2016-05-18,1518,1526,-1,8
2016-05-18,1381,1294,-1,1
2016-05-18,1381,1360,-1,3
2016-05-18,1518,1524,1,128
2016-05-18,1381,1326,-1,1
2016-05-18,1381,1331,-1,388
2016-05-18,1381,1313,1,1
2016-05-18,1381,1321,-1,1
2016-05-18,1381,1351,-1,1
2016-05-18,1374,1359,-1,180
2016-05-18,1374,1359,1,60
2016-05-18,1363,1359,1,10
2016-05-18,1518,1525,-1,17
2016-05-19,1381,1331,-1,375
2016-05-19,1363,1359,1,2
2016-05-19,1384,1316,-1,2
2016-05-19,1518,1525,-1,3
2016-05-19,1518,1524,0,3
2016-05-19,1381,1331,1,11
2016-05-19,1520,1524,-1,37
2016-05-19,1367,1359,-1,6
2016-05-19,1381,1325,-1,6
2016-05-19,1381,1331,0,4
2016-05-19,1384,1360,1,2
2016-05-19,1518,1526,-1,2
2016-05-19,1520,1524,1,65
2016-05-19,1366,1359,1,7
2016-05-19,1381,1293,1,1
2016-05-19,1518,1524,-1,84
2016-05-19,1381,1360,1,10
2016-05-19,1381,1294,1,4
2016-05-19,1520,1524,0,18
2016-05-19,1381,1333,-1,4
2016-05-19,1374,1359,-1,138
2016-05-19,1518,1525,1,1
2016-05-19,1381,1326,1,1
2016-05-19,1367,1359,1,6
2016-05-19,1518,1524,1,107
2016-05-19,1982,1305,-1,1
2016-05-19,1381,1305,1,8
2016-05-19,1518,1526,1,2
2016-05-19,1982,1331,-1,5
2016-05-19,1381,1353,0,1
2016-05-19,1381,1305,-1,2
2016-05-19,1982,1360,1,2
2016-05-19,1374,1359,1,24
2016-05-19,1366,1359,-1,1
2016-05-19,1381,1333,1,4
2016-05-19,1374,1359,0,40
2016-05-19,1381,1360,-1,15
2016-05-19,1381,1321,-1,4
2016-05-20,1381,1360,1,4
2016-05-20,1374,1359,-1,37
2016-05-20,1363,1359,1,6
2016-05-20,1518,1524,-1,34
2016-05-20,1381,1305,0,1
2016-05-20,1520,1524,0,4
2016-05-20,1374,1359,0,6
2016-05-20,1381,1331,1,7
2016-05-20,1384,1360,1,1
2016-05-20,1381,1294,1,1
2016-05-20,1381,1325,-1,10
2016-05-20,1982,1321,1,2
2016-05-20,1518,1525,1,6
2016-05-20,1381,1331,0,3
2016-05-20,1366,1359,1,5
2016-05-20,1367,1359,-1,1
2016-05-20,1520,1526,-1,8
2016-05-20,1520,1524,-1,14
2016-05-20,1518,1524,0,2
2016-05-20,1518,1525,-1,1
2016-05-20,1982,1305,-1,1
2016-05-20,1381,1360,-1,7
2016-05-20,1374,1359,1,22
2016-05-20,1520,1524,1,34
2016-05-20,1982,1331,-1,1
2016-05-20,1982,1360,-1,1
2016-05-20,1366,1359,-1,1
2016-05-20,1381,1321,-1,4
2016-05-20,1518,1524,1,62
2016-05-20,1381,1331,-1,165
2016-05-21,1367,1359,-1,1
2016-05-21,1366,1359,1,1
2016-05-21,1381,1360,-1,4
2016-05-21,1518,1524,-1,30
2016-05-21,1364,1359,1,1
2016-05-21,1381,1331,-1,35
2016-05-21,1520,1524,-1,1
2016-05-21,1381,1360,1,2
2016-05-21,1518,1524,1,29
2016-05-21,1374,1359,-1,7
2016-05-21,1518,1525,-1,3
2016-05-21,1518,1524,0,3
2016-05-21,1520,1524,0,1
2016-05-21,1518,1526,1,1
2016-05-21,1982,1321,1,3
2016-05-21,1381,1310,-1,1
2016-05-21,1518,1525,1,6
2016-05-21,1384,1331,-1,1
2016-05-21,1518,1525,0,1
2016-05-21,1520,1524,1,4
2016-05-21,1374,1359,1,11
2016-05-21,1374,1359,0,1
2016-05-22,1384,1305,1,1
2016-05-22,1384,1331,1,1
2016-05-22,1982,1360,1,2
2016-05-22,1381,1360,-1,11
2016-05-22,1982,1360,-1,1
2016-05-22,1381,1305,-1,2
2016-05-22,1518,1525,-1,4
2016-05-22,1518,1524,-1,27
2016-05-22,1982,1331,-1,1
2016-05-22,1518,1526,-1,1
2016-05-22,1518,1524,0,6
2016-05-22,1520,1524,-1,14
2016-05-22,1366,1359,1,8
2016-05-22,1374,1359,-1,40
2016-05-22,1381,1331,1,4
2016-05-22,1374,1359,0,21
2016-05-22,1520,1524,0,14
2016-05-22,1381,1331,-1,119
2016-05-22,1381,1349,1,1
2016-05-22,1381,1321,1,1
2016-05-22,1374,1359,1,52
2016-05-22,1381,1326,-1,1
2016-05-22,1520,1526,1,1
2016-05-22,1518,1524,1,145
2016-05-22,1367,1359,1,2
2016-05-22,1363,1359,0,1
2016-05-22,1518,1525,1,4
2016-05-22,1381,1360,1,1
2016-05-22,1518,1525,0,1
2016-05-22,1381,1349,-1,1
2016-05-22,1520,1524,1,21
2016-05-22,1366,1359,-1,8
2016-05-22,1363,1359,1,1
2016-05-23,1367,1359,-1,2
2016-05-23,1384,1321,1,1
2016-05-23,1982,1305,1,1
2016-05-23,1363,1359,1,1
2016-05-23,1384,1360,-1,1
2016-05-23,1383,1360,1,2
2016-05-23,1384,1360,1,3
2016-05-23,1381,1321,-1,7
2016-05-23,1374,1359,1,49
2016-05-23,1982,1360,-1,1
2016-05-23,1982,1331,-1,1
2016-05-23,1982,1293,1,1
2016-05-23,1518,1524,1,188
2016-05-23,1381,1331,-1,368
2016-05-23,1520,1524,-1,28
2016-05-23,1366,1359,-1,16
2016-05-23,1381,1305,0,1
2016-05-23,1520,1524,1,76
2016-05-23,1381,1349,-1,1
2016-05-23,1366,1359,0,1
2016-05-23,1381,1305,-1,6
2016-05-23,1381,1326,0,1
2016-05-23,1367,1359,1,10
2016-05-23,1366,1359,1,3
2016-05-23,1364,1359,1,1
2016-05-23,1518,1524,0,15
2016-05-23,1982,1349,-1,2
2016-05-23,1982,1349,1,1
2016-05-23,1384,1360,0,1
2016-05-23,1381,1331,0,2
2016-05-23,1374,1359,0,13
2016-05-23,1518,1525,-1,7
2016-05-23,1363,1359,0,1
2016-05-23,1381,1313,-1,2
2016-05-23,1384,1331,1,1
2016-05-23,1520,1524,0,17
2016-05-23,1381,1360,-1,11
2016-05-23,1384,1293,1,1
2016-05-23,1381,1305,1,2
2016-05-23,1518,1524,-1,64
2016-05-23,1381,1331,1,29
2016-05-23,1381,1360,1,3
2016-05-23,1374,1359,-1,94
2016-05-23,1518,1526,-1,9
2016-05-23,1518,1525,1,2
2016-05-23,1381,1325,-1,7
2016-05-23,1982,1360,1,5
2016-05-24,1381,1331,1,21
2016-05-24,1518,1525,1,3
2016-05-24,1520,1524,0,6
2016-05-24,1518,1525,-1,20
2016-05-24,1367,1359,-1,2
2016-05-24,1381,1360,-1,17
2016-05-24,1374,1359,-1,112
2016-05-24,1381,1293,-1,1
2016-05-24,1384,1321,1,1
2016-05-24,1381,1325,1,3
2016-05-24,1384,1360,1,7
2016-05-24,1518,1524,0,20
2016-05-24,1518,1524,1,126
2016-05-24,1381,1360,1,9
2016-05-24,1363,1359,-1,5
2016-05-24,1381,1325,-1,37
2016-05-24,1381,1349,1,1
2016-05-24,1982,1305,1,2
2016-05-24,1518,1526,1,7
2016-05-24,1374,1359,0,25
2016-05-24,1381,1326,1,1
2016-05-24,1518,1526,-1,9
2016-05-24,1366,1359,0,2
2016-05-24,1982,1321,1,1
2016-05-24,1520,1524,-1,21
2016-05-24,1383,1360,1,2
2016-05-24,1982,1360,1,4
2016-05-24,1982,1331,-1,3
2016-05-24,1520,1524,1,94
2016-05-24,1384,1360,-1,3
2016-05-24,1381,1331,0,2
2016-05-24,1384,1293,1,1
2016-05-24,1381,1331,-1,238
2016-05-24,1366,1359,1,5
2016-05-24,1366,1359,-1,10
2016-05-24,1381,1326,-1,1
2016-05-24,1364,1359,1,1
2016-05-24,1367,1359,1,23
2016-05-24,1374,1359,1,34
2016-05-24,1363,1359,1,4
2016-05-24,1982,1326,0,1
2016-05-24,1982,1331,1,4
2016-05-24,1982,1360,-1,1
2016-05-24,1518,1524,-1,148
2016-05-25,1518,1526,-1,2
2016-05-25,1381,1310,-1,2
2016-05-25,1518,1526,1,18
2016-05-25,1367,1359,-1,2
2016-05-25,1363,1359,1,4
2016-05-25,1381,1360,-1,28
2016-05-25,1366,1359,0,1
2016-05-25,1518,1524,0,10
2016-05-25,1381,1325,1,1
2016-05-25,1381,1331,0,4
2016-05-25,1518,1525,-1,4
2016-05-25,1381,1321,-1,11
2016-05-25,1384,1360,1,3
2016-05-25,1982,1331,-1,1
2016-05-25,1374,1359,0,8
2016-05-25,1381,1331,-1,242
2016-05-25,1374,1359,1,51
2016-05-25,1381,1351,-1,1
2016-05-25,1381,1326,-1,1
2016-05-25,1518,1524,1,82
2016-05-25,1520,1524,0,7
2016-05-25,1381,1326,1,1
2016-05-25,1367,1359,1,6
2016-05-25,1381,1360,1,5
2016-05-25,1518,1525,1,5
2016-05-25,1381,1333,-1,4
2016-05-25,1982,1331,1,4
2016-05-25,1381,1305,1,1
2016-05-25,1982,1360,1,1
2016-05-25,1366,1359,1,9
2016-05-25,1374,1359,-1,51
2016-05-25,1381,1325,-1,11
2016-05-25,1366,1359,-1,6
2016-05-25,1381,1294,1,4
2016-05-25,1381,1331,1,9
2016-05-25,1518,1524,-1,190
2016-05-25,1520,1524,1,77
2016-05-25,1520,1524,-1,41
2016-05-25,1363,1359,-1,1
2016-05-26,1982,1331,-1,2
2016-05-26,1518,1524,-1,120
2016-05-26,1518,1524,1,110
2016-05-26,1381,1346,-1,3
2016-05-26,1367,1359,-1,1
2016-05-26,1381,1343,-1,1
2016-05-26,1518,1525,-1,4
2016-05-26,1520,1524,1,33
2016-05-26,1518,1526,1,6
2016-05-26,1363,1359,-1,5
2016-05-26,1366,1359,-1,6
2016-05-26,1520,1526,-1,1
2016-05-26,1363,1359,1,3
2016-05-26,1381,1321,-1,7
2016-05-26,1374,1359,0,16
2016-05-26,1366,1359,1,5
2016-05-26,1518,1524,0,11
2016-05-26,1381,1360,0,1
2016-05-26,1367,1359,1,1
2016-05-26,1381,1331,-1,261
2016-05-26,1381,1310,-1,3
2016-05-26,1381,1305,-1,1
2016-05-26,1381,1326,-1,2
2016-05-26,1381,1305,1,4
2016-05-26,1520,1524,0,3
2016-05-26,1374,1359,1,54
2016-05-26,1518,1526,-1,1
2016-05-26,1367,1359,0,2
2016-05-26,1518,1525,1,5
2016-05-26,1381,1333,-1,4
2016-05-26,1384,1360,0,3
2016-05-26,1381,1360,1,5
2016-05-26,1374,1359,-1,87
2016-05-26,1381,1326,1,1
2016-05-26,1381,1331,1,6
2016-05-26,1381,1351,1,1
2016-05-26,1520,1524,-1,45
2016-05-26,1381,1331,0,6
2016-05-26,1381,1360,-1,26
2016-05-27,1363,1359,-1,1
2016-05-27,1520,1524,-1,13
2016-05-27,1364,1359,-1,1
2016-05-27,1381,1326,1,2
2016-05-27,1366,1359,-1,1
2016-05-27,1518,1524,1,48
2016-05-27,1374,1359,0,5
2016-05-27,1381,1360,1,3
2016-05-27,1381,1305,1,3
2016-05-27,1520,1524,0,1
2016-05-27,1518,1524,-1,23
2016-05-27,1982,1360,1,7
2016-05-27,1381,1302,1,1
2016-05-27,1366,1359,1,2
2016-05-27,1381,1343,0,1
2016-05-27,1518,1524,0,1
2016-05-27,1381,1325,-1,1
2016-05-27,1363,1359,1,1
2016-05-27,1520,1524,1,38
2016-05-27,1381,1326,-1,2
2016-05-27,1381,1331,-1,103
2016-05-27,1381,1302,-1,1
2016-05-27,1381,1360,-1,24
2016-05-27,1381,1331,1,22
2016-05-27,1518,1525,-1,3
2016-05-27,1381,1305,-1,1
2016-05-27,1374,1359,1,11
2016-05-27,1381,1321,-1,3
2016-05-27,1374,1359,-1,30
2016-05-27,1381,1343,-1,2
2016-05-28,1518,1525,-1,4
2016-05-28,1374,1359,1,2
2016-05-28,1381,1360,-1,3
2016-05-28,1381,1360,1,4
2016-05-28,1518,1525,0,2
2016-05-28,1520,1526,1,1
2016-05-28,1381,1321,-1,3
2016-05-28,1381,1343,-1,1
2016-05-28,1520,1524,1,7
2016-05-28,1381,1331,0,5
2016-05-28,1366,1359,1,1
2016-05-28,1381,1331,-1,34
2016-05-28,1374,1359,0,1
2016-05-28,1518,1524,1,23
2016-05-28,1520,1524,-1,6
2016-05-28,1384,1360,1,1
2016-05-28,1982,1293,-1,1
2016-05-28,1518,1526,-1,2
2016-05-28,1518,1524,0,2
2016-05-28,1381,1331,1,2
2016-05-28,1518,1524,-1,18
2016-05-28,1374,1359,-1,9
2016-05-29,1366,1359,-1,15
2016-05-29,1381,1333,-1,1
2016-05-29,1363,1359,-1,2
2016-05-29,1982,1321,1,1
2016-05-29,1363,1359,1,2
2016-05-29,1518,1525,0,6
2016-05-29,1518,1524,-1,32
2016-05-29,1982,1331,1,1
2016-05-29,1520,1524,0,3
2016-05-29,1381,1360,0,1
2016-05-29,1374,1359,-1,93
2016-05-29,1982,1360,1,1
2016-05-29,1520,1524,1,46
2016-05-29,1366,1359,1,6
2016-05-29,1384,1293,1,2
2016-05-29,1381,1331,1,1
2016-05-29,1381,1360,1,2
2016-05-29,1374,1359,0,2
2016-05-29,1518,1525,1,1
2016-05-29,1381,1331,-1,154
2016-05-29,1518,1524,1,42
2016-05-29,1520,1524,-1,7
2016-05-29,1374,1359,1,5
2016-05-29,1381,1331,0,5
2016-05-29,1381,1343,-1,9
2016-05-29,1381,1360,-1,4
2016-05-29,1520,1525,-1,3
2016-05-29,1381,1321,-1,7
2016-05-29,1518,1525,-1,2
2016-05-30,1367,1359,1,1
2016-05-30,1363,1359,-1,4
2016-05-30,1384,1360,1,1
2016-05-30,1982,1331,-1,2
2016-05-30,1381,1360,1,7
2016-05-30,1384,1305,1,1
2016-05-30,1518,1526,-1,1
2016-05-30,1363,1359,0,3
2016-05-30,1982,1360,1,3
2016-05-30,1982,1293,1,1
2016-05-30,1518,1524,1,69
2016-05-30,1391,1331,-1,2
2016-05-30,1518,1524,-1,75
2016-05-30,1518,1525,-1,6
2016-05-30,1982,1305,1,1
2016-05-30,1381,1360,-1,9
2016-05-30,1381,1331,-1,185
2016-05-30,1366,1359,1,5
2016-05-30,1982,1360,-1,1
2016-05-30,1520,1524,-1,27
2016-05-30,1367,1359,-1,3
2016-05-30,1374,1359,0,13
2016-05-30,1374,1359,1,29
2016-05-30,1381,1313,-1,1
2016-05-30,1366,1359,0,1
2016-05-30,1381,1302,1,9
2016-05-30,1518,1524,0,13
2016-05-30,1520,1524,0,1
2016-05-30,1518,1526,1,1
2016-05-30,1384,1351,-1,1
2016-05-30,1363,1359,1,5
2016-05-30,1518,1525,0,1
2016-05-30,1381,1360,0,2
2016-05-30,1520,1525,-1,1
2016-05-30,1381,1343,-1,3
2016-05-30,1518,1525,1,5
2016-05-30,1381,1321,-1,2
2016-05-30,1367,1359,0,1
2016-05-30,1383,1360,-1,1
2016-05-30,1366,1359,-1,4
2016-05-30,1374,1359,-1,99
2016-05-30,1381,1331,1,7
2016-05-30,1381,1331,0,2
2016-05-30,1384,1293,1,19
2016-05-30,1520,1524,1,51
2016-05-30,1381,1305,1,1
2016-05-31,1381,1302,1,15
2016-05-31,1367,1359,-1,16
2016-05-31,1381,1360,1,4
2016-05-31,1381,1302,-1,3
2016-05-31,1381,1321,-1,6
2016-05-31,1381,1331,-1,258
2016-05-31,1518,1525,1,8
2016-05-31,1520,1524,-1,60
2016-05-31,1381,1305,1,5
2016-05-31,1982,1331,0,2
2016-05-31,1381,1293,1,1
2016-05-31,1381,1305,-1,3
2016-05-31,1982,1360,1,5
2016-05-31,1982,1305,1,7
2016-05-31,1384,1293,1,6
2016-05-31,1381,1343,-1,7
2016-05-31,1518,1525,-1,21
2016-05-31,1381,1325,-1,1
2016-05-31,1381,1360,-1,24
2016-05-31,1366,1359,-1,10
2016-05-31,1518,1526,-1,5
2016-05-31,1381,1305,0,1
2016-05-31,1381,1351,1,2
2016-05-31,1374,1359,-1,80
2016-05-31,1381,1331,1,15
2016-05-31,1381,1331,0,15
2016-05-31,1982,1331,-1,2
2016-05-31,1982,1331,1,2
2016-05-31,1982,1293,-1,2
2016-05-31,1982,1349,-1,2
2016-05-31,1381,1301,1,4
2016-05-31,1366,1359,0,5
2016-05-31,1381,1326,-1,3
2016-05-31,1381,1326,1,2
2016-05-31,1518,1524,0,21
2016-05-31,1518,1524,-1,128
2016-05-31,1374,1359,0,14
2016-05-31,1384,1321,1,1
2016-05-31,1381,1349,1,1
2016-05-31,1363,1359,-1,2
2016-05-31,1366,1359,1,12
2016-05-31,1363,1359,1,2
2016-05-31,1982,1360,-1,1
2016-05-31,1381,1313,-1,1
2016-05-31,1383,1360,-1,1
2016-05-31,1520,1524,1,47
2016-05-31,1374,1359,1,90
2016-05-31,1381,1313,1,1
2016-05-31,1518,1524,1,162
2016-05-31,1384,1351,1,2
2016-05-31,1982,1293,0,1
2016-05-31,1518,1526,1,3
2016-05-31,1381,1294,1,6
2016-05-31,1381,1316,-1,1
2016-05-31,1520,1524,0,9
2016-06-01,1381,1331,0,7
2016-06-01,1381,1326,-1,3
2016-06-01,1518,1524,1,171
2016-06-01,1520,1524,-1,31
2016-06-01,1381,1305,-1,1
2016-06-01,1518,1526,1,13
2016-06-01,1363,1359,1,2
2016-06-01,1367,1359,1,3
2016-06-01,1520,1524,1,30
2016-06-01,1366,1359,1,17
2016-06-01,1381,1313,-1,4
2016-06-01,1381,1343,-1,5
2016-06-01,1381,1321,-1,2
2016-06-01,1381,1360,-1,8
2016-06-01,1982,1331,-1,1
2016-06-01,1383,1360,1,1
2016-06-01,1982,1305,-1,3
2016-06-01,1518,1525,-1,5
2016-06-01,1381,1294,-1,2
2016-06-01,1518,1524,-1,108
2016-06-01,1374,1359,1,110
2016-06-01,1381,1331,-1,116
2016-06-01,1982,1293,1,1
2016-06-01,1518,1524,0,19
2016-06-01,1381,1328,1,1
2016-06-01,1982,1360,-1,1
2016-06-01,1381,1333,-1,4
2016-06-01,1518,1525,1,3
2016-06-01,1982,1305,1,23
2016-06-01,1366,1359,-1,18
2016-06-01,1520,1524,0,14
2016-06-01,1381,1326,1,4
2016-06-01,1381,1360,1,10
2016-06-01,1381,1302,1,10
2016-06-01,1982,1360,1,2
2016-06-01,1381,1301,1,12
2016-06-01,1374,1359,0,3
2016-06-01,1381,1331,1,8
2016-06-01,1518,1525,0,1
2016-06-01,1982,1349,-1,1
2016-06-01,1982,1305,0,2
2016-06-01,1520,1526,-1,1
2016-06-01,1982,1321,1,2
2016-06-01,1982,1360,0,1
2016-06-01,1381,1360,0,2
2016-06-01,1982,1293,-1,3
2016-06-01,1374,1359,-1,45
2016-06-01,1381,1294,1,20
2016-06-01,1982,1331,0,9
2016-06-01,1367,1359,-1,7
2016-06-01,1518,1526,0,1
2016-06-02,1366,1359,-1,45
2016-06-02,1982,1305,0,2
2016-06-02,1381,1349,-1,1
2016-06-02,1367,1359,-1,5
2016-06-02,1367,1359,1,3
2016-06-02,1381,1331,0,11
2016-06-02,1982,1305,-1,1
2016-06-02,1381,1321,-1,1
2016-06-02,1982,1331,-1,2
2016-06-02,1381,1293,-1,1
2016-06-02,1381,1305,1,2
2016-06-02,1982,1360,0,4
2016-06-02,1518,1525,-1,7
2016-06-02,1381,1305,0,1
2016-06-02,1982,1331,0,63
2016-06-02,1381,1360,1,8
2016-06-02,1381,1331,-1,187
2016-06-02,1381,1316,-1,2
2016-06-02,1982,1305,1,19
2016-06-02,1381,1349,1,1
2016-06-02,1374,1359,0,18
2016-06-02,1982,1360,-1,4
2016-06-02,1518,1526,1,9
2016-06-02,1363,1359,-1,4
2016-06-02,1982,1360,1,6
2016-06-02,1518,1526,-1,3
2016-06-02,1381,1305,-1,1
2016-06-02,1982,1293,-1,1
2016-06-02,1518,1524,1,107
2016-06-02,1366,1359,0,2
2016-06-02,1374,1359,1,46
2016-06-02,1381,1353,1,2
2016-06-02,1381,1313,-1,11
2016-06-02,1374,1359,-1,45
2016-06-02,1364,1359,1,2
2016-06-02,1518,1525,1,1
2016-06-02,1520,1524,0,3
2016-06-02,1381,1326,1,2
2016-06-02,1520,1524,-1,33
2016-06-02,1366,1359,1,6
2016-06-02,1520,1524,1,46
2016-06-02,1381,1333,-1,8
2016-06-02,1518,1524,0,43
2016-06-02,1381,1343,-1,5
2016-06-02,1363,1359,1,2
2016-06-02,1381,1294,1,3
2016-06-02,1518,1524,-1,135
2016-06-02,1381,1331,1,15
2016-06-02,1381,1360,-1,29
2016-06-03,1381,1360,1,3
2016-06-03,1982,1331,1,1
2016-06-03,1384,1360,-1,1
2016-06-03,1381,1331,-1,110
2016-06-03,1381,1353,1,2
2016-06-03,1383,1360,-1,1
2016-06-03,1381,1293,-1,6
